,p_value,batch_size,number_of_epochs,act,act_fin,train_score,val_score
274,0.3,400,3550,Tanh(),Sigmoid(),0.36777737702781754,0.3628210174515102
275,0.3,400,3600,Tanh(),Sigmoid(),0.35954905791102354,0.35671936758893286
276,0.3,400,3650,Tanh(),Sigmoid(),0.36741215386855847,0.3462043852747696
277,0.3,400,3700,Tanh(),Sigmoid(),0.3714513282918268,0.3412210050058352
278,0.3,400,3750,Tanh(),Sigmoid(),0.3724519991733587,0.354624122206035
279,0.3,400,3800,Tanh(),Sigmoid(),0.36263688379806136,0.3513959474622137
280,0.3,400,3850,Tanh(),Sigmoid(),0.3667975358430595,0.348548208242424
281,0.3,400,3900,Tanh(),Sigmoid(),0.36942934339345085,0.3435959919443721
282,0.3,400,3950,Tanh(),Sigmoid(),0.3696630037467309,0.35289346901970886
283,0.3,400,4000,Tanh(),Sigmoid(),0.367101173377107,0.3613074970593698
284,0.3,400,4050,Tanh(),Sigmoid(),0.36407243171787707,0.3493498778958485
285,0.3,400,4100,Tanh(),Sigmoid(),0.370484984586528,0.35807458704660267
286,0.3,400,4150,Tanh(),Sigmoid(),0.3664419669155098,0.35405788468253807
287,0.3,400,4200,Tanh(),Sigmoid(),0.36684950331733884,0.3491155588104722
288,0.3,400,4250,Tanh(),Sigmoid(),0.36949216986288347,0.3435959919443721
289,0.3,400,4300,Tanh(),Sigmoid(),0.37790189760114573,0.3582671957671958
290,0.3,400,4350,Tanh(),Sigmoid(),0.37463775620731465,0.3467597578255829
291,0.3,400,4400,Tanh(),Sigmoid(),0.37105863586610377,0.340979020979021
292,0.3,400,4450,Tanh(),Sigmoid(),0.38108770309079587,0.36197122078574273
293,0.3,400,4500,Tanh(),Sigmoid(),0.3678286346804517,0.37173734352050236
294,0.3,400,4550,Tanh(),Sigmoid(),0.38320807331829665,0.36543740451378104
295,0.3,400,4600,Tanh(),Sigmoid(),0.36657847321039044,0.35432104514293106
296,0.3,400,4650,Tanh(),Sigmoid(),0.3881415162614136,0.3678291619288008
297,0.3,400,4700,Tanh(),Sigmoid(),0.3706196782359463,0.35245634112383134
298,0.3,400,4750,Tanh(),Sigmoid(),0.37868487071736934,0.3660421205519244
299,0.3,400,4800,Tanh(),Sigmoid(),0.38112599223219085,0.3594611208397258
300,0.3,400,4850,Tanh(),Sigmoid(),0.38392048624112607,0.35976463153750926
301,0.3,400,4900,Tanh(),Sigmoid(),0.3945187626618599,0.3660421205519244
302,0.3,400,4950,Tanh(),Sigmoid(),0.3798124923988495,0.35807106567450686
303,0.3,400,4999,Tanh(),Sigmoid(),0.38336959599021747,0.3766983526601304
304,0.3,400,0,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
305,0.3,400,50,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
306,0.3,400,100,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
307,0.3,400,150,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
308,0.3,400,200,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
309,0.3,400,250,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
310,0.3,400,300,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
311,0.3,400,350,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
312,0.3,400,400,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
313,0.3,400,450,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
314,0.3,400,500,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
315,0.3,400,550,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
316,0.3,400,600,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
317,0.3,400,650,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
318,0.3,400,700,Tanh(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
